exercicio,instituicao,cod_ibge,uf,anexo,rotulo,coluna,cod_conta,conta,valor,populacao,ano
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.1.1.1.00.00,2.1.1.1.1.00.00 - Pessoal a Pagar - Consolidação,452860.33,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.1.2.0.00.00,2.1.1.2.0.00.00 - Benefícios Previdenciários a Pagar,1450370.88,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.1.2.1.00.00,2.1.1.2.1.00.00 - Benefícios Previdenciários a Pagar - Consolidação,1450370.88,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.1.3.0.00.00,2.1.1.3.0.00.00 - Benefícios Assistenciais a Pagar,1098310.18,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.1.3.1.00.00,2.1.1.3.1.00.00 - Benefícios Assistenciais a Pagar - Consolidação,1098310.18,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.1.4.0.00.00,2.1.1.4.0.00.00 - Encargos Sociais a Pagar,7192475.32,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.1.4.1.00.00,2.1.1.4.1.00.00 - Encargos Sociais a Pagar-Consolidação,254937.1,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.1.4.2.00.00,2.1.1.4.2.00.00 - Encargos Sociais a Pagar - Intra OFSS,5670137.39,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.1.4.3.00.00,2.1.1.4.3.00.00 - Encargos Sociais a Pagar - Inter OFSS - União,1267400.83,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.3.0.0.00.00,2.1.3.0.0.00.00 - Fornecedores e Contas a Pagar a Curto Prazo,2083285.4,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.3.1.0.00.00,2.1.3.1.0.00.00 - Fornecedores e Contas a Pagar Nacionais a Curto Prazo,2083285.4,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.3.1.1.00.00,2.1.3.1.1.00.00 - Fornecedores e Contas a Pagar Nacionais a Curto Prazo - Consolidação,2083285.4,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.1.4.0.0.00.00,2.1.4.0.0.00.00 - Obrigações Fiscais a Curto Prazo,46993.59,679378,2020
