nro_processo,ano,situacao,obra,municipio,fonte,coletado_em
S00728,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00729,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00775,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00779,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00001,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00001,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00002,2018,EM EXECUCAO,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00002,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00002,2020,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00003,2017,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00003,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00005,2017,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00005,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00006,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00007,2017,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00007,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00008,2017,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00008,2018,EM EXECUCAO,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
T00010,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
