modalidade,nro_processo_licitatorio,nro_processo_adm,objeto,situacao,data,data_abertura,hora_abertura,total_registro_preco,valor_comprado,valor_estimado,itens,documentos,excel,municipio,fonte,coletado_em
Dispensa de Licitacao,00040/2026,86142026,Renovacao de Licenca,encerrada,10/04/2026,:,"0,00","52.200,00","52.200,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00041/2026,32855/26,Aquisicao de Materiais Diversos,encerrada,14/04/2026,:,"0,00","7.236,00","7.236,00",6,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00042/2026,17242025,Aquisicao de Lubrificantes,encerrada,15/04/2026,:,"0,00","15.234,50","15.234,50",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00043/2026,42052024,Aquisicao de Materiais Eletricos,encerrada,27/04/2026,:,"0,00","2.272,45","3.235,61",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00044/2026,16816/26,Prestacao de Servico Com Fornecimento de Material.,encerrada,27/04/2026,:,"0,00","3.617,00","3.617,00",2,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00045/2026,24727,Servicos de Manutencao de Veiculos,encerrada,28/04/2026,:,"0,00","749,00","749,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00046/2026,28140/26,Acessorios para Veiculos,encerrada,28/04/2026,:,"0,00","1.290,25","1.290,25",10,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00047/2026,21596/26,Servicos de Manutencao de Veiculos,encerrada,28/04/2026,:,"0,00","490,00","490,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00048/2026,3520926,Conserto de Equipamentos em Geral,encerrada,05/05/2026,05/05/2026,00:00,"0,00","38.400,00","38.400,00",1,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00049/2026,4494326,Aquisicao de Materiais para Jardinagem,encerrada,06/05/2026,:,"0,00","6.375,80","6.037,86",3,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00050/2026,43472/26,Servicos em Geral,encerrada,11/05/2026,:,"0,00","1.150,00","1.150,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00051/2026,8608/26,Servicos em Geral,encerrada,11/05/2026,:,"0,00","5.998,80","5.998,80",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00052/2026,15416,Aquisicao de Equipamentos Eletricos,encerrada,11/05/2026,:,"0,00","27.595,86","27.594,66",4,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00053/2026,21300/26,Aquisicao de Impressos em Geral,encerrada,18/05/2026,:,"0,00","1.500,00","1.500,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00054/2026,40013/26,Contratacao de Servicos Especializados,encerrada,18/05/2026,:,"0,00","840,00","840,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00055/2026,58597,Aquisicao de Equipamentos de Seguranca e Protecao,encerrada,22/05/2026,:,"0,00","11.083,50","11.083,50",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
