arquivo,ano,categoria,paginas,chars,tem_texto,fonte
balanco_previdenciario_2019_06_06_balanco_prevjun19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_07_07_balanco_prevjul19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_08_08_balanco_prevago19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_09_09_balanco_prevset19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_10_10_balanco_prevout19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_11_11_balanco_prevnov19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_12_12_balanco_prevdez19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_01_01_balanco_prevjan20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_02_02_balanco_prevfev20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_03_03_balanco_prevmar20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_04_04_balanco_prevabr20.pdf,2020,balanco_previdenciario,,15138,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_05_05_balanco_prevmai20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_06_06_balanco_prevjun20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_07_07_balanco_prevjul20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_08_08_balanco_prevago20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2020_09_09_balanco_prevset20.pdf,2020,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
