arquivo,ano,categoria,paginas,chars,tem_texto,fonte
balanco_saude_2017_05_5_balanco_saudemai17.pdf,2017,balanco_saude,,14301,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_06_6_balanco_saudejun17.pdf,2017,balanco_saude,,14315,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_07_7_balanco_saudejul17.pdf,2017,balanco_saude,,14325,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_08_8_balanco_saudeago17.pdf,2017,balanco_saude,,14330,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_09_9_balanco_saudeset17.pdf,2017,balanco_saude,,14339,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_10_10_balanco_sauout17.pdf,2017,balanco_saude,,14331,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_11_11_balanco_saunov17.pdf,2017,balanco_saude,,14408,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_12_12_balanco_saudez17.pdf,2017,balanco_saude,,14429,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_01_1_balanco_saujan18.pdf,2018,balanco_saude,,13790,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_02_2_balanco_saufev18.pdf,2018,balanco_saude,,13829,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_03_3_balanco_saumar18.pdf,2018,balanco_saude,,14688,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_04_4_balanco_sauabr18.pdf,2018,balanco_saude,,14698,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_05_5_balanco_saumai18.pdf,2018,balanco_saude,,14710,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_06_6_balanco_saujun18.pdf,2018,balanco_saude,,14704,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_07_7_balanco_saujul18.pdf,2018,balanco_saude,,14703,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_08_8_balanco_sauago18.pdf,2018,balanco_saude,,14707,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_09_9_balanco_sauset18.pdf,2018,balanco_saude,,14721,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_10_10_balanco_sauout18.pdf,2018,balanco_saude,,14762,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_11_11_balanco_saunov18.pdf,2018,balanco_saude,,14772,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2018_12_12_balanco_saudez18.pdf,2018,balanco_saude,,14884,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_01_01_balanco_saujan19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_02_02_balanco_saufev19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_03_03_balanco_saumar19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_04_04_balanco_sauabr19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_05_05_balanco_saumai19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_06_06_balanco_saujun19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_07_07_balanco_saujul19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_08_08_balanco_sauago19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_09_09_balanco_sauset19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_10_10_balanco_sauout19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_11_11_balanco_saunov19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2019_12_12_balanco_saudez19.pdf,2019,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_01_01_balanco_saujan20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_02_02_balanco_saufev20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_03_03_balanco_saumar20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_04_04_balanco_sauabr20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_05_05_balanco_saumai20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_06_06_balanco_saujun20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_07_07_balanco_saujul20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_08_08_balanco_sauago20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_09_09_balanco_sauset20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_10_10_balanco_sauout20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_11_11_balanco_saunov20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2020_12_12_balanco_saudez20.pdf,2020,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_01_01_balanco_saujan21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_02_02_balanco_saufev21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_03_03_balanco_saumar21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_04_04_balanco_sauabr21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_05_05_balanco_saumai21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_06_06_balanco_saujun21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_07_07_balanco_saujul21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_08_08_balanco_sauago21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_09_09_balanco_sauset21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_10_10_balanco_sauout21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_11_11_balanco_saunov21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2021_12_12_balanco_saudez21.pdf,2021,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_01_01_balanco_saujan22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_02_02_balanco_saufev22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_03_03_balanco_saumar22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_04_04_balanco_sauabr22.pdf,2022,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2022_05_05_balanco_saumai22.pdf,2022,balanco_saude,,0,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
