obra_id,contrato,cpl,objeto,secretaria,empresa_contratada,cnpj,cnpj_valido,valor_contrato,percentual_concluido,status,financiadora,previsao_conclusao,quantidade,logradouro,bairro,municipio,uf,cep
35,29/2024,572/2022,obras de adequações de acessibilidade na ubs márcia mendes.,SES - Secretaria da Saúde,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"184827,86","100,00%",Ativo,PREFEITURA MUNICIPAL DE SOROCABA,2024-10-19,0.00 m²,Rua José A. Rabello Junior,Jd. Vera Cruz,Sorocaba,SP,18050-180
36,509/2024,526/2023,reforma parcial do espaço solidário do fundo social de solidariedade.,FSS - Fundo Social de Solidariedade,DCA ENGENHARIA E CONSTRUÇÕES EIRELI,14634377000107,1,"174280,50","100,00%",Ativo,Câmara Municipal de Sorocaba,2024-09-27,112.08 m²,Avenida Rudolf Dafferner,Alto da Boa Vista,Sorocaba,SP,18013-280
37,689/2024,349/2023,"construção de vestiário nocentro esportivo ""andré matielo"".",SEQUAV - Secretaria de Esporte e Qualidade de Vida,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"594638,53","100,00%",Ativo,Convênio Estadual,2024-12-31,0.00 m²,Rua Rua Pedro Lara Moraes,Pinheiros,Sorocaba,SP,18025-009
38,758/2024,98/2024,"implantação de quadra de basquete, revitalização da quadra e playground e ampliação do sistema de iluminação pública no jardim são camilo.",SERPO - Secretaria de Serviços Públicos e Obras,VIVA CONSTRUÇÕES E SERVIÇOS LTDA,08756015000196,1,"220000,00","100,00%",Ativo,Emenda Impositiva,2025-03-10,0.00 m²,Rua João Penitente,Jardim São Camilo,Sorocaba,SP,18078-145
39,757/2024,85/2024,incremento às ações de urbanização em área pública - revitalização das praças josé vicente vannuchi e benedito paes de almeida.,SERPO - Secretaria de Serviços Públicos e Obras,VIVA CONSTRUÇÕES E SERVIÇOS LTDA,08756015000196,1,"200000,00","100,00%",Ativo,Emenda Impositiva,None,0.00 m²,Rua Oliveira César e Rua São Vicente,Vila Santa Rita,,,18080-125
40,445/2023,457/2021,consórcio vk pavimentação - requalificação da malha viária de ruas do setor 6,SEAD - Secretaria de Administração,KAPA PAVIMENTAÇÃO LTDA,17344459000105,1,"11552018,14","83,07%",Ativo,FONPLATA,2025-03-26,0.00 m,Alameda Família Betti,Jardim Santa Marta,Sorocaba,SP,18073-403
41,673/2022,240/2022,construção de uma creche tipo a - 10 salas padrão fnde no jardim dos alpes,SEDU - Secretaria da Educação,CASAGRANDE SERVIÇOS E CONSTRUÇÕES LTDA,05592745000100,1,"5106102,37","99,97%",Ativo,RECURSO FNDE,2024-11-11,1330.06 m²,RUA Armando Rocha,Jardim Alpes de Sorocaba,Sorocaba,SP,18079-630
42,709/2022,305/2022,construção de uma creche tipo a - 10 salas padrão fnde no jardim dos pássaros,SEDU - Secretaria da Educação,HONOS CONSTRUÇÕES E SERVIÇOS EIRELI,28703928000151,1,"6526566,69","99,31%",Ativo,RECURSOS MUNICIPAL,2024-04-27,1330.06 m²,RUA ARLINDO PEREIRA FERNANDES,JD. DOS PÁSSAROS,SOROCABA,SP,18103-812
43,676/2022,243/2022,construção de uma creche tipo a - 10 salas padrão fnde no jardim santo amaro,SEDU - Secretaria da Educação,CASAGRANDE SERVIÇOS E CONSTRUÇÕES LTDA,05592745000100,1,"5343402,09","100,00%",Ativo,Recurso FNDE,2024-12-11,1330.06 m²,RUA ESMERALDA JOÃO,JD. SANTO AMARO,SOROCABA,SP,18074-685
44,677/2022,242/2022,construção de uma creche tipo a - 05 salas padrão fnde no jardim monterrey,SEDU - Secretaria da Educação,HONOS CONSTRUÇÕES E SERVIÇOS EIRELI,28703928000151,1,"3325863,14","99,91%",Ativo,RECURSO FNDE,2025-06-28,752.07 m²,RUA ARMANDO UNRUH,JD. MONTERREY,SOROCABA,SP,18071-092
45,446/2023,457/2021,consórcio vk pavimentação - requalificação da malha viária de ruas do setor 6,SEAD - Secretaria de Administração,VIGENT CONSTRUÇÕES LTDA,15320722000109,1,"12297663,52","85,07%",Ativo,NDB,2025-03-26,0.00 m,Rua Paulo Varchavtchik,Aparecidinha,Sorocaba,SP,18087-190
46,612/2021,295/2021,construção de uma creche tipo a - 05 salas padrão fnde para atender a secretaria de educação,SEDU - Secretaria da Educação,HONOS CONSTRUÇÕES E SERVIÇOS EIRELI,28703928000151,1,"3464944,64","99,64%",Ativo,RECURSO FNDE,2023-12-28,752.07 m²,RUA ALLAN KARDEC,VILA ALMEIDA,SOROCABA,SP,18075-440
