ibge,uf,regiao,nome,key
2501005,PB,NE,Araruna,araruna
2902252,BA,NE,Arataca,arataca
4300901,RS,S,Aratiba,aratiba
2301406,CE,NE,Aratuba,aratuba
2902302,BA,NE,Aratuípe,aratuipe
2800407,SE,NE,Arauá,araua
4101804,PR,S,Araucária,araucaria
3103900,MG,SE,Araújos,araujos
3104007,MG,SE,Araxá,araxa
3104106,MG,SE,Arceburgo,arceburgo
3503356,SP,SE,Arco-Íris,arco_iris
3104205,MG,SE,Arcos,arcos
2601201,PE,NE,Arcoverde,arcoverde
3104304,MG,SE,Areado,areado
3300225,RJ,SE,Areal,areal
3503406,SP,SE,Arealva,arealva
2501104,PB,NE,Areia,areia
2401107,RN,NE,Areia Branca,areia_branca
2800506,SE,NE,Areia Branca,areia_branca
2501153,PB,NE,Areia de Baraúnas,areia_de_baraunas
2501203,PB,NE,Areial,areial
3503505,SP,SE,Areias,areias
3503604,SP,SE,Areiópolis,areiopolis
5101308,MT,CO,Arenápolis,arenapolis
5202353,GO,CO,Arenópolis,arenopolis
2401206,RN,NE,Arez,arez
3104403,MG,SE,Argirita,argirita
3104452,MG,SE,Aricanduva,aricanduva
3104502,MG,SE,Arinos,arinos
5101407,MT,CO,Aripuanã,aripuana
1100023,RO,N,Ariquemes,ariquemes
3503703,SP,SE,Ariranha,ariranha
4101853,PR,S,Ariranha do Ivaí,ariranha_do_ivai
3300233,RJ,SE,Armação dos Búzios,armacao_dos_buzios
4201505,SC,S,Armazém,armazem
2301505,CE,NE,Arneiroz,arneiroz
2200905,PI,NE,Aroazes,aroazes
2501302,PB,NE,Aroeiras,aroeiras
2200954,PI,NE,Aroeiras do Itaim,aroeiras_do_itaim
2201002,PI,NE,Arraial,arraial
3300258,RJ,SE,Arraial do Cabo,arraial_do_cabo
1702406,TO,N,Arraias,arraias
4301008,RS,S,Arroio do Meio,arroio_do_meio
4301073,RS,S,Arroio do Padre,arroio_do_padre
4301057,RS,S,Arroio do Sal,arroio_do_sal
4301206,RS,S,Arroio do Tigre,arroio_do_tigre
4301107,RS,S,Arroio dos Ratos,arroio_dos_ratos
4301305,RS,S,Arroio Grande,arroio_grande
4201604,SC,S,Arroio Trinta,arroio_trinta
3503802,SP,SE,Artur Nogueira,artur_nogueira
5202502,GO,CO,Aruanã,aruana
3503901,SP,SE,Arujá,aruja
4201653,SC,S,Arvoredo,arvoredo
4301404,RS,S,Arvorezinha,arvorezinha
4201703,SC,S,Ascurra,ascurra
3503950,SP,SE,Aspásia,aspasia
4101903,PR,S,Assaí,assai
2301604,CE,NE,Assaré,assare
3504008,SP,SE,Assis,assis
1200054,AC,N,Assis Brasil,assis_brasil
4102000,PR,S,Assis Chateaubriand,assis_chateaubriand
2400208,RN,NE,Assú,assu
2501351,PB,NE,Assunção,assuncao
2201051,PI,NE,Assunção do Piauí,assuncao_do_piaui
3104601,MG,SE,Astolfo Dutra,astolfo_dutra
4102109,PR,S,Astorga,astorga
4102208,PR,S,Atalaia,atalaia
2700409,AL,NE,Atalaia,atalaia
1300201,AM,N,Atalaia do Norte,atalaia_do_norte
4201802,SC,S,Atalanta,atalanta
3104700,MG,SE,Ataléia,ataleia
3504107,SP,SE,Atibaia,atibaia
3200706,ES,SE,Atílio Vivácqua,atilio_vivacqua
1702554,TO,N,Augustinópolis,augustinopolis
1500909,PA,N,Augusto Corrêa,augusto_correa
3104809,MG,SE,Augusto de Lima,augusto_de_lima
4301503,RS,S,Augusto Pestana,augusto_pestana
4301552,RS,S,Áurea,aurea
2902401,BA,NE,Aurelino Leal,aurelino_leal
3504206,SP,SE,Auriflama,auriflama
5202601,GO,CO,Aurilândia,aurilandia
4201901,SC,S,Aurora,aurora
2301703,CE,NE,Aurora,aurora
1500958,PA,N,Aurora do Pará,aurora_do_para
1702703,TO,N,Aurora do Tocantins,aurora_do_tocantins
1300300,AM,N,Autazes,autazes
3504305,SP,SE,Avaí,avai
3504404,SP,SE,Avanhandava,avanhandava
3504503,SP,SE,Avaré,avare
1501006,PA,N,Aveiro,aveiro
2201101,PI,NE,Avelino Lopes,avelino_lopes
5202809,GO,CO,Avelinópolis,avelinopolis
2101103,MA,NE,Axixá,axixa
1702901,TO,N,Axixá do Tocantins,axixa_do_tocantins
1703008,TO,N,Babaçulândia,babaculandia
2101202,MA,NE,Bacabal,bacabal
2101251,MA,NE,Bacabeira,bacabeira
2101301,MA,NE,Bacuri,bacuri
2101350,MA,NE,Bacurituba,bacurituba
3504602,SP,SE,Bady Bassitt,bady_bassitt
3104908,MG,SE,Baependi,baependi
4301602,RS,S,Bagé,bage
1501105,PA,N,Bagre,bagre
2501401,PB,NE,Baía da Traição,baia_da_traicao
2401404,RN,NE,Baía Formosa,baia_formosa
2902500,BA,NE,Baianópolis,baianopolis
1501204,PA,N,Baião,baiao
2902609,BA,NE,Baixa Grande,baixa_grande
2201150,PI,NE,Baixa Grande do Ribeiro,baixa_grande_do_ribeiro
2301802,CE,NE,Baixio,baixio
3200805,ES,SE,Baixo Guandu,baixo_guandu
3504701,SP,SE,Balbinos,balbinos
3105004,MG,SE,Baldim,baldim
5203104,GO,CO,Baliza,baliza
4201950,SC,S,Balneário Arroio do Silva,balneario_arroio_do_silva
4202057,SC,S,Balneário Barra do Sul,balneario_barra_do_sul
4202008,SC,S,Balneário Camboriú,balneario_camboriu
4202073,SC,S,Balneário Gaivota,balneario_gaivota
4212809,SC,S,Balneário Piçarras,balneario_picarras
4301636,RS,S,Balneário Pinhal,balneario_pinhal
4220000,SC,S,Balneário Rincão,balneario_rincao
4102307,PR,S,Balsa Nova,balsa_nova
3504800,SP,SE,Bálsamo,balsamo
2101400,MA,NE,Balsas,balsas
3105103,MG,SE,Bambuí,bambui
2301851,CE,NE,Banabuiú,banabuiu
3504909,SP,SE,Bananal,bananal
2501500,PB,NE,Bananeiras,bananeiras
3105202,MG,SE,Bandeira,bandeira
3105301,MG,SE,Bandeira do Sul,bandeira_do_sul
4202081,SC,S,Bandeirante,bandeirante
5001508,MS,CO,Bandeirantes,bandeirantes
4102406,PR,S,Bandeirantes,bandeirantes
1703057,TO,N,Bandeirantes do Tocantins,bandeirantes_do_tocantins
1501253,PA,N,Bannach,bannach
2902658,BA,NE,Banzaê,banzae
4301651,RS,S,Barão,barao
3505005,SP,SE,Barão de Antonina,barao_de_antonina
3105400,MG,SE,Barão de Cocais,barao_de_cocais
4301701,RS,S,Barão de Cotegipe,barao_de_cotegipe
2101509,MA,NE,Barão de Grajaú,barao_de_grajau
5101605,MT,CO,Barão de Melgaço,barao_de_melgaco
3105509,MG,SE,Barão do Monte Alto,barao_do_monte_alto
4301750,RS,S,Barão do Triunfo,barao_do_triunfo
2501534,PB,NE,Baraúna,barauna
2401453,RN,NE,Baraúna,barauna
3105608,MG,SE,Barbacena,barbacena
2301901,CE,NE,Barbalha,barbalha
3505104,SP,SE,Barbosa,barbosa
4102505,PR,S,Barbosa Ferraz,barbosa_ferraz
1501303,PA,N,Barcarena,barcarena
2401503,RN,NE,Barcelona,barcelona
1300409,AM,N,Barcelos,barcelos
3505203,SP,SE,Bariri,bariri
2902708,BA,NE,Barra,barra
3505302,SP,SE,Barra Bonita,barra_bonita
4202099,SC,S,Barra Bonita,barra_bonita
2902807,BA,NE,Barra da Estiva,barra_da_estiva
2201176,PI,NE,Barra D'Alcântara,barra_dalcantara
2601300,PE,NE,Barra de Guabiraba,barra_de_guabiraba
2501609,PB,NE,Barra de Santa Rosa,barra_de_santa_rosa
2501575,PB,NE,Barra de Santana,barra_de_santana
2700508,AL,NE,Barra de Santo Antônio,barra_de_santo_antonio
3200904,ES,SE,Barra de São Francisco,barra_de_sao_francisco
2700607,AL,NE,Barra de São Miguel,barra_de_sao_miguel
2501708,PB,NE,Barra de São Miguel,barra_de_sao_miguel
5101704,MT,CO,Barra do Bugres,barra_do_bugres
3505351,SP,SE,Barra do Chapéu,barra_do_chapeu
2902906,BA,NE,Barra do Choça,barra_do_choca
2101608,MA,NE,Barra do Corda,barra_do_corda
5101803,MT,CO,Barra do Garças,barra_do_garcas
4301859,RS,S,Barra do Guarita,barra_do_guarita
4102703,PR,S,Barra do Jacaré,barra_do_jacare
2903003,BA,NE,Barra do Mendes,barra_do_mendes
1703073,TO,N,Barra do Ouro,barra_do_ouro
3300308,RJ,SE,Barra do Piraí,barra_do_pirai
4301875,RS,S,Barra do Quaraí,barra_do_quarai
4301909,RS,S,Barra do Ribeiro,barra_do_ribeiro
4301925,RS,S,Barra do Rio Azul,barra_do_rio_azul
2903102,BA,NE,Barra do Rocha,barra_do_rocha
3505401,SP,SE,Barra do Turvo,barra_do_turvo
2800605,SE,NE,Barra dos Coqueiros,barra_dos_coqueiros
4301958,RS,S,Barra Funda,barra_funda
3105707,MG,SE,Barra Longa,barra_longa
3300407,RJ,SE,Barra Mansa,barra_mansa
4202107,SC,S,Barra Velha,barra_velha
4301800,RS,S,Barracão,barracao
4102604,PR,S,Barracão,barracao
2201200,PI,NE,Barras,barras
2301950,CE,NE,Barreira,barreira
2903201,BA,NE,Barreiras,barreiras
2201309,PI,NE,Barreiras do Piauí,barreiras_do_piaui
1300508,AM,N,Barreirinha,barreirinha
2101707,MA,NE,Barreirinhas,barreirinhas
2601409,PE,NE,Barreiros,barreiros
3505500,SP,SE,Barretos,barretos
3505609,SP,SE,Barrinha,barrinha
2302008,CE,NE,Barro,barro
2903235,BA,NE,Barro Alto,barro_alto
5203203,GO,CO,Barro Alto,barro_alto
2201408,PI,NE,Barro Duro,barro_duro
2903300,BA,NE,Barro Preto,barro_preto
2903276,BA,NE,Barrocas,barrocas
1703107,TO,N,Barrolândia,barrolandia
2302057,CE,NE,Barroquinha,barroquinha
4302006,RS,S,Barros Cassal,barros_cassal
3105905,MG,SE,Barroso,barroso
3505708,SP,SE,Barueri,barueri
3505807,SP,SE,Bastos,bastos
5001904,MS,CO,Bataguassu,bataguassu
2700706,AL,NE,Batalha,batalha
2201507,PI,NE,Batalha,batalha
3505906,SP,SE,Batatais,batatais
5002001,MS,CO,Batayporã,bataypora
2302107,CE,NE,Baturité,baturite
3506003,SP,SE,Bauru,bauru
2501807,PB,NE,Bayeux,bayeux
3506102,SP,SE,Bebedouro,bebedouro
2302206,CE,NE,Beberibe,beberibe
2302305,CE,NE,Bela Cruz,bela_cruz
5002100,MS,CO,Bela Vista,bela_vista
4102752,PR,S,Bela Vista da Caroba,bela_vista_da_caroba
5203302,GO,CO,Bela Vista de Goiás,bela_vista_de_goias
