numero_controle_pncp,numero,ano,numero_sequencial,orgao_cnpj,orgao_nome,unidade_nome,modalidade_licitacao_nome,tipo_nome,situacao_nome,cancelado,data_publicacao_pncp,data_atualizacao_pncp,valor_global,municipio_nome,uf,esfera_nome,title,description,item_url
45751435000106-1-000027/2023,,2023,27,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-06-20T11:17:42.667777,2023-06-27T11:18:20.290302,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 16956/2023,AQUISIÇÃO DE MATERIAL ESPORTIVO  PARA REPOSIÇÃO NAS ESCOLINHAS DE ESPORTES DA SMECULTE.,/compras/45751435000106/2023/27
45751435000106-1-000055/2023,,2023,55,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-08-25T09:25:24.632853,2023-08-25T09:25:24.632853,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 22537/2023,AQUISIÇÃO DE MEDICAMENTO PARA UTILIZAÇÃO NO HOSPITAL MUNICIPAL DE PAULÍNIA.,/compras/45751435000106/2023/55
45751435000106-1-000051/2023,,2023,51,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-08-23T10:06:55.864836,2023-08-30T13:06:36.220883,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 23627/2023,AQUISIÇÃO DE ASSINATURAS DE USO DE SOFTWARE AUTODESK POR UM PERÍODO DE DOZE MESES.,/compras/45751435000106/2023/51
45751435000106-1-000054/2023,,2023,54,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-08-24T11:49:58.321911,2023-08-31T13:09:43.255547,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 24015/2023,AQUISIÇÃO DE MATERIAL ESPORTIVO PARA REALIZAÇÃO DE TORNEIO DE BASQUETE 3X3.,/compras/45751435000106/2023/54
45751435000106-1-000064/2023,,2023,64,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-09-06T10:35:59.873566,2023-09-06T10:35:59.873566,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 24680/2023,Aquisição de camas a serem utilizadas no departamento de geriatria e gerontologia.,/compras/45751435000106/2023/64
45751435000106-1-000075/2023,,2023,75,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-09-18T08:10:48.154762,2023-09-18T08:10:48.154762,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 26541/2023,Aquisição de medicamento Sulfato de Polimixina B 500.000UI - Frasco/Ampola,/compras/45751435000106/2023/75
45751435000106-1-000090/2023,,2023,90,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-10-05T11:12:27.499845,2023-10-05T11:12:27.499845,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 27937/2023,AQUISIÇÃO DE MICRO RETIFICA PARA O CORPO DE BOMBEIROS DO MUNICÍPIO DE PAULÍNIA.,/compras/45751435000106/2023/90
45751435000106-1-000136/2023,,2023,136,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-11-22T10:39:32.230301,2023-11-29T09:48:57.346114,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 33350/2023,TROCA DE ÓLEO E FILTROS DOS VEÍCULOS DO CORPO DE BOMBEIROS DO MUNICÍPIO DE PAULÍNIA.,/compras/45751435000106/2023/136
45751435000106-1-000165/2023,,2023,165,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-12-12T12:16:17.360603,2023-12-12T12:16:17.360603,,Paulínia,SP,Municipal,Edital nº 310/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE EQUIPOS PARA BOMBA DE INFUSÃO,/compras/45751435000106/2023/165
45751435000106-1-000124/2023,,2023,124,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-11-13T12:57:13.703986,2023-12-14T10:32:57.426952,,Paulínia,SP,Municipal,Edital nº 272/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS PARA ASSISTÊNCIA RESPIRATÓRIA,/compras/45751435000106/2023/124
