numero_controle_pncp,numero,ano,numero_sequencial,orgao_cnpj,orgao_nome,unidade_nome,modalidade_licitacao_nome,tipo_contrato_nome,tipo_nome,situacao_nome,cancelado,data_publicacao_pncp,data_atualizacao_pncp,data_assinatura,data_inicio_vigencia,data_fim_vigencia,valor_global,fonte_orcamentaria_nome,exigencia_conteudo_nacional,permite_adesao,possui_emenda_parlamentar,municipio_nome,uf,esfera_nome,poder_nome,title,description,item_url
45751435000106-2-000330/2024,,2024,330,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-12-11T13:25:34.026331,2024-12-11T13:25:34.026331,2024-12-11,2024-12-11,2025-06-10,86730.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 624/2024,AÇÃO JUDICIAL,/contratos/45751435000106/2024/330
45751435000106-2-000344/2024,,2024,344,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-01-06T11:31:28.202682,2025-01-06T11:31:28.202682,2024-12-20,2024-12-20,2025-12-19,6079.2,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 653/2024,16 - Outros materias de consumo,/contratos/45751435000106/2024/344
45751435000106-2-000008/2024,,2024,8,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-04-01T18:27:46.538950,2024-04-01T18:27:46.538950,2024-03-21,2024-03-21,2025-03-21,184192.96,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 106/2024,AQUISIÇÃO DO MEDICAMENTO “ALECTINIBE”,/contratos/45751435000106/2024/8
45751435000106-2-000011/2024,,2024,11,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-04-01T18:33:33.651077,2024-04-01T18:33:33.651077,2024-03-08,2024-03-08,2024-09-04,18336.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 81/2024,"AQUISIÇÃO DE INSULINA ASPARTE E DEGLUTECA.
",/contratos/45751435000106/2024/11
45751435000106-2-000020/2024,,2024,20,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-04-24T17:45:01.012229,2024-04-24T17:45:01.012229,2024-04-19,2024-04-19,2025-04-19,288.5,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 186/2024,AQUISIÇÃO DE INSULINA E TIRAS REAGENTES,/contratos/45751435000106/2024/20
45751435000106-2-000084/2024,,2024,84,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-06-24T15:08:41.034969,2024-06-24T15:08:41.034969,2024-06-24,2024-06-24,2025-06-24,1180.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 332/2024,AQUISIÇÃO DE EQUIPAMENTOS ODONTOLÓGICOS,/contratos/45751435000106/2024/84
45751435000106-2-000087/2024,,2024,87,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-06-24T16:21:33.743114,2024-06-24T16:21:33.743114,2024-06-24,2024-06-24,2025-06-25,15712.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 335/2024,AQUISIÇÃO DE EQUIPAMENTOS ODONTOLÓGICOS,/contratos/45751435000106/2024/87
45751435000106-2-000172/2024,,2024,172,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-08-27T11:23:42.380036,2024-08-27T11:23:58.433510,2024-08-27,2024-08-27,2025-02-21,131679.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 439/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,/contratos/45751435000106/2024/172
45751435000106-2-000174/2024,,2024,174,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-08-27T11:26:15.019725,2024-08-27T11:26:15.019725,2024-08-27,2024-08-27,2025-02-21,220463.5,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 441/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,/contratos/45751435000106/2024/174
45751435000106-2-000175/2024,,2024,175,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-08-27T11:51:42.894256,2024-08-27T11:51:50.408408,2024-08-27,2024-08-27,2025-02-21,84371.4,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 442/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,/contratos/45751435000106/2024/175
45751435000106-2-000181/2024,,2024,181,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-08-27T15:05:37.480157,2024-08-27T15:05:55.368245,2024-08-27,2024-08-27,2025-02-21,94224.1,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 446/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,/contratos/45751435000106/2024/181
45751435000106-2-000209/2024,,2024,209,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-09-17T15:54:26.918199,2024-09-17T15:54:36.000928,2024-09-17,2024-09-17,2025-03-16,88935.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 483/2024,AQUISIÇÃO EMERGÊNCIAL DE MEDICAMENTO,/contratos/45751435000106/2024/209
45751435000106-2-000224/2024,,2024,224,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-09-19T16:37:33.273945,2024-09-19T16:38:08.287261,2024-09-19,2024-09-19,2024-09-19,0.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 500/2024,AQUISIÇÃO DE MOBILIÁRIOS DE ESCRITÓRIO,/contratos/45751435000106/2024/224
45751435000106-2-000255/2024,,2024,255,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-10-08T08:50:50.829077,2024-10-08T08:51:17.317143,2024-10-07,2024-10-07,2025-10-07,37191.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 528/2024,AQUISIÇÃO ANUAL DE MOBILIÁRIO E MATERIAIS HOSPITALARES,/contratos/45751435000106/2024/255
