unidade_gestora,natureza_receita,conta_contabil,descricao_receita,data_movimentacao,operacao,valor,nome_banco,id,ano,municipio,entidade,fonte
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,20/02/2025 00:00,ARRECADACAO         ,"538,53",BANCO DO BRASIL (APLICAÇÃO)                       ,173269,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,27/02/2025 00:00,ARRECADACAO         ,"1.560,00",BANCO DO BRASIL (APLICAÇÃO)                       ,173298,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,27/02/2025 00:00,ARRECADACAO         ,"50,05",BANCO DO BRASIL (APLICAÇÃO)                       ,173300,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,27/02/2025 00:00,ARRECADACAO         ,"1.751,76",BANCO DO BRASIL (APLICAÇÃO)                       ,173301,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.99.003 ,DIVERSOS                                          ,26/02/2025 00:00,ARRECADACAO         ,"1.172,99",BANCO DO BRASIL (APLICAÇÃO)                       ,173289,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.15.007 ,EMPRÉSTIMO CONSIGNADO SANTANDER (PLANO ADMINISTRAT,26/02/2025 00:00,ARRECADACAO         ,"1.051,64",BANCO DO BRASIL (APLICAÇÃO)                       ,173280,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,4.5.1.1.2.02.00.000 ,REPASSE RECEBIDO                                  ,20/02/2025 00:00,ARRECADACAO         ,"3.900.000,00",BANCO DO BRASIL (APLICAÇÃO)                       ,173271,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.02.003 ,I.N.S.S.- FOLHA DE PAGAMENTO                      ,13/03/2025 00:00,ARRECADACAO         ,"951,62",BANCO DO BRASIL (APLICAÇÃO)                       ,177121,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,25/03/2025 00:00,ARRECADACAO         ,"50,05",BANCO DO BRASIL (APLICAÇÃO)                       ,178555,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,31/03/2025 00:00,ARRECADACAO         ,"203,99",BANCO DO BRASIL (APLICAÇÃO)                       ,329298,2025,paulinia,camara,SMARAPD Câmara de Paulínia
