coletado_em,categoria,subcategoria,ano,periodo,titulo,url_pagina,url_arquivo,arquivo_raw,tamanho_bytes,status_download
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-04,Balancete Abril/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Abr2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-04_balanco_patrimonial_abr2022.pdf,8199,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-05,Balancete Maio/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Mai2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-05_balanco_patrimonial_mai2022.pdf,8198,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-06,Balancete Junho/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Jun2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-06_balanco_patrimonial_jun2022.pdf,8209,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-07,Balancete Julho/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Jul2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-07_balanco_patrimonial_jul2022.pdf,8215,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-08,Balancete Agosto/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Ago2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-08_balanco_patrimonial_ago2022.pdf,8222,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-09,Balancete Setembro/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Set2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-09_balanco_patrimonial_set2022.pdf,8270,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-10,Balancete Outubro/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Out2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-10_balanco_patrimonial_out2022.pdf,8256,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-11,Balancete Novembro/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Nov2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-11_balanco_patrimonial_nov2022.pdf,8264,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-12,Balancete Dezembro/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Dez2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-12_balanco_patrimonial_dez2022.pdf,8282,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2021,2021,Balancete 2021,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_2021.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2021_balanco_patrimonial_2021.pdf,8176,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2020,2020,Balancete 2020,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_2020.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2020_balanco_patrimonial_2020.pdf,5581,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2019,2019,Balancete 2019,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_2019.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2019_balanco_patrimonial_2019.pdf,5565,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2018,2018,Balancete 2018,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_2018.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2018_balanco_patrimonial_2018.pdf,5609,baixado
