ano,data_sessao,numero_sessao,tipo_sessao,numero_pl,tipo_pl,ementa,resultado_geral,vereador,partido,voto
2026,11/08/2026,25,Ordinária,Moção Nº 211/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À TODOS OS PAIS, EM ESPECIAL AOS PAULINENSES, EM COMEMORAÇÃO AO DIA DOS PAIS, CELEBRADO EM 09 DE AGOSTO.”",Aprovado,MESSIAS BRITO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 211/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À TODOS OS PAIS, EM ESPECIAL AOS PAULINENSES, EM COMEMORAÇÃO AO DIA DOS PAIS, CELEBRADO EM 09 DE AGOSTO.”",Aprovado,SARGENTO CAMARGO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,JUNINHO LALUPE,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,TIGUILA PAES,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,ALEX EDUARDO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,ANDERSON HENRIQUE,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,CARLOS KUKA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,NECO VIEIRA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,DOUGLAS GUARITA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,FABIO DA VAN,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,FABIO VALADÃO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,FLÁVIO XAVIER,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,HELDER PEREIRA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,GIBI PROFESSOR,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,JOSÉ SOARES,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,LUCAS BARROS,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,MESSIAS BRITO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 210/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À ELETRO DALBEM, PELO ANIVERSÁRIO DE 30 ANOS, CELEBRADO EM 01 DE AGOSTO DE 2026.”",Aprovado,SARGENTO CAMARGO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 209/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À SECRETARIA MUNICIPAL DE ESPORTES, ESTENDENDO OS CUMPRIMENTOS À EQUIPE TÉCNICA, ATLETAS, TREINADORES, COORDENADORES, SERVIDORES E COLABORADORES PELA BRILHANTE PARTICIPAÇÃO E REPRESENTAÇÃO DE PAULÍNIA NOS 68º JOGOS REGIONAIS DE ITATIBA 2026.”",Aprovado,JUNINHO LALUPE,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 209/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À SECRETARIA MUNICIPAL DE ESPORTES, ESTENDENDO OS CUMPRIMENTOS À EQUIPE TÉCNICA, ATLETAS, TREINADORES, COORDENADORES, SERVIDORES E COLABORADORES PELA BRILHANTE PARTICIPAÇÃO E REPRESENTAÇÃO DE PAULÍNIA NOS 68º JOGOS REGIONAIS DE ITATIBA 2026.”",Aprovado,TIGUILA PAES,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 209/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À SECRETARIA MUNICIPAL DE ESPORTES, ESTENDENDO OS CUMPRIMENTOS À EQUIPE TÉCNICA, ATLETAS, TREINADORES, COORDENADORES, SERVIDORES E COLABORADORES PELA BRILHANTE PARTICIPAÇÃO E REPRESENTAÇÃO DE PAULÍNIA NOS 68º JOGOS REGIONAIS DE ITATIBA 2026.”",Aprovado,ALEX EDUARDO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 209/2026,MOÇÃO,"“DE APLAUSOS E CONGRATULAÇÕES À SECRETARIA MUNICIPAL DE ESPORTES, ESTENDENDO OS CUMPRIMENTOS À EQUIPE TÉCNICA, ATLETAS, TREINADORES, COORDENADORES, SERVIDORES E COLABORADORES PELA BRILHANTE PARTICIPAÇÃO E REPRESENTAÇÃO DE PAULÍNIA NOS 68º JOGOS REGIONAIS DE ITATIBA 2026.”",Aprovado,ANDERSON HENRIQUE,,A favor
