ano,mes,vereador,aluguel_maquina,combustivel,material_escritorio,postagem,total,reembolso
2023,10,JOSÉ VINICIUS CAMPOS AITH,,477.15,263.24,,740.39,
2023,10,JOÃO DONIZETI SILVESTRE,560.09,1034.08,1019.04,96.86,2710.07,
2023,10,LUÍS SANTOS PEREIRA FILHO,315.10,310.72,122.11,,747.93,
2023,10,PÉRICLES REGIS MENDONÇA DE LIMA,124.29,270.22,,,394.51,
2023,10,RODRIGO PIVETA BERNO,576.57,397.31,323.29,,1297.17,
2023,10,SALATIEL DOS SANTOS HERGESEL,247.89,258.72,58.58,,565.19,
2023,10,ÍTALO GABRIEL MOREIRA,,328.10,141.55,9.65,479.30,419.90
2023,11,ANTÔNIO CARLOS SILVANO JUNIOR,256.54,408.42,838.15,,1503.11,
2023,11,CAIO DE OLIVEIRA EGÊA SILVEIRA,205.42,520.04,722.16,,1447.62,
2023,11,CRISTIANO ANUNCIAÇÃO DOS PASSOS,145.89,432.22,52.00,232.86,862.97,
2023,11,CÍCERO JOÃO DA SILVA,,501.34,385.48,,886.82,
2023,11,DYLAN ROBERTO VIANA DANTAS,392.51,287.91,183.26,,863.68,
2023,11,FAUSTO SALVADOR PERES,115.73,437.52,316.58,659.90,1529.73,
2023,11,FERNANDA SCHLIC GARCIA,166.23,296.41,100.61,,563.25,
2023,11,FERNANDO ALVES LISBOA DINI,146.74,440.60,236.91,,824.25,
2023,11,FRANCISCO FRANÇA DA SILVA,,408.62,88.52,18.20,515.34,
2023,11,FÁBIO SIMOA MENDES DO CARMO LEITE,152.44,333.77,288.28,,774.49,
2023,11,GERVINO CLÁUDIO GONÇALVES,566.36,373.76,,,940.12,
2023,11,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2023,11,IARA BERNARDI,848.67,755.05,64.61,,1668.33,
2023,11,JOSÉ VINICIUS CAMPOS AITH,159.57,374.64,,,534.21,
2023,11,JOÃO DONIZETI SILVESTRE,438.24,455.95,161.41,214.26,1269.86,
2023,11,LUÍS SANTOS PEREIRA FILHO,605.62,338.41,82.43,,1026.46,
2023,11,PÉRICLES REGIS MENDONÇA DE LIMA,135.11,271.32,24.46,,430.89,
2023,11,RODRIGO PIVETA BERNO,435.28,380.36,557.63,,1373.27,
2023,11,SALATIEL DOS SANTOS HERGESEL,379.29,257.79,53.13,,690.21,
2023,11,ÍTALO GABRIEL MOREIRA,,334.18,227.70,19.30,581.18,479.30
2023,12,ANTÔNIO CARLOS SILVANO JUNIOR,267.17,416.88,280.96,660.00,1625.01,
2023,12,CAIO DE OLIVEIRA EGÊA SILVEIRA,409.31,629.58,389.62,,1428.51,
2023,12,CRISTIANO ANUNCIAÇÃO DOS PASSOS,288.39,491.13,240.72,214.68,1234.92,
2023,12,CÍCERO JOÃO DA SILVA,719.94,397.89,174.99,,1292.82,
2023,12,DYLAN ROBERTO VIANA DANTAS,298.30,257.96,557.32,,1113.58,
2023,12,FAUSTO SALVADOR PERES,,347.42,242.33,651.80,1241.55,
2023,12,FERNANDA SCHLIC GARCIA,,277.18,214.86,2.45,494.49,
2023,12,FERNANDO ALVES LISBOA DINI,,373.99,220.38,2.45,596.82,
2023,12,FRANCISCO FRANÇA DA SILVA,121.81,324.44,,,446.25,
2023,12,FÁBIO SIMOA MENDES DO CARMO LEITE,754.27,284.32,145.71,,1184.30,
2023,12,GERVINO CLÁUDIO GONÇALVES,405.62,461.84,,,867.46,
2023,12,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2023,12,IARA BERNARDI,586.82,693.69,112.91,,1393.42,
2023,12,JOSÉ VINICIUS CAMPOS AITH,306.84,362.40,,,669.24,
2023,12,JOÃO DONIZETI SILVESTRE,654.27,448.29,125.94,,1228.50,
2023,12,LUÍS SANTOS PEREIRA FILHO,417.04,276.20,241.81,,935.05,
2023,12,PÉRICLES REGIS MENDONÇA DE LIMA,,281.64,86.15,,367.79,
2023,12,RODRIGO PIVETA BERNO,654.82,447.57,44.14,,1146.53,
2023,12,SALATIEL DOS SANTOS HERGESEL,235.01,264.08,,,499.09,
2023,12,ÍTALO GABRIEL MOREIRA,,312.56,83.04,17.55,413.15,581.18
