dataset,ano,orgao_cnpj,orgao_nome,unidade_nome,controle_pncp,numero,objeto,valor,situacao,data_publicacao,data_assinatura,vigencia_inicio,vigencia_fim
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000044/2023,,"Aquisições de cadeiras, visando atender as necessidades de demandas da Secretaria do Governo Municipal, conforme especificações do Termo de Referência. (Qualquer divergência entre as especificações contidas no Anexo I deste Edital e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos",,Divulgada no PNCP,2023-09-04,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000045/2023,,"Contratação de empresa especializada na prestação de serviços de limpeza, asseio e conservação predial, desinsetização, desratização e descupinização, visando a obtenção de adequadas condições de salubridade e higiene com disponibilização de mão-de-obra e com fornecimento de materiais de limpeza, sa",,Divulgada no PNCP,2023-09-06,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000046/2023,,Aquisição de cabideiros de piso para atender o Gabinete do Prefeito e demais unidades. Qualquer divergência entre as especificações contidas no Aviso de dispensa eletrônica e as constantes no  CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Aviso de dispensa eletrônica.,,Divulgada no PNCP,2023-09-29,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000047/2023,,Aquisição de Suporte de parede e refil embalador de guarda chuvas em bobina e porta guarda chuvas. Qualquer divergência entre as especificações contidas no Aviso de dispensa eletrônica e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Aviso de dispensa eletrônica,,Divulgada no PNCP,2023-10-02,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000048/2023,,"Aquisição de Materiais de Copa, Cozinha e Lavanderia para atender às demandas das áreas responsáveis no âmbito do Gabinete do Sr. Prefeito, da Secretaria do Governo e das demais Secretarias Executivas que são gerenciadas pela administração do Edifício Matarazzo. Qualquer divergência entre as especif",,Divulgada no PNCP,2023-10-04,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000049/2023,,Aquisição de lousa de vidro branca e caneta marcadora para atender a unidade solicitante do   Gabinete do Prefeito.,,Divulgada no PNCP,2023-10-10,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000050/2023,,"Aquisição de materiais de jardim, para atender a preservação e o cuidado do paisagismo do Edifício Matarazzo.  Qualquer divergência entre as especificações contidas no Aviso de dispensa eletrônica e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Aviso de dispens",,Divulgada no PNCP,2023-10-16,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000051/2023,,"Contratação de empresa especializada na prestação de serviços de limpeza, asseio e conservação predial, desinsetização, desratização e descupinização, visando a obtenção de adequadas condições de salubridade e higiene com disponibilização de mão-de-obra e com fornecimento de materiais de limpeza, sa",,Divulgada no PNCP,2023-10-19,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000052/2023,,"Aquisição de 25 (vinte e cinco) Tablets novos, conforme especificações do Termo de Referência anexo I do Edital.",,Divulgada no PNCP,2023-10-23,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000053/2023,,Aquisição de Caneta Stylus Touch Screen Universal Para Celular e Tablet. Qualquer divergência entre as especificações contidas no Edital de dispensa eletrônica e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Aviso de dispensa eletrônica.,,Divulgada no PNCP,2023-10-23,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000054/2023,,"Trata o presente da aquisição de materiais para Brigada de Incêndio - Ed. Matarazzo, conforme especificações do Termo  de Referência anexo I do Edital. (OS ITENS DEVERÃO ATENDER AO DESCRITIVO E ESPECIFICAÇÃOES DO TERMO DE REFERENCIA DO  EDITAL).",,Divulgada no PNCP,2023-10-25,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000056/2023,,"Contratação de empresa especializada na prestação de serviços de inspeção, manutenção, recarga de extintores, reposição de componentes e fornecimento de (extintores, mangueiras e componentes para hidrante. Qualquer divergência entre as especificações contidas no Edital de dispensa eletrônica e as co",,Divulgada no PNCP,2023-10-25,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000057/2023,,Contratação de empresa especializada no fornecimento de capachos para as portarias de acesso ao Edifício Conde Matarazzo.,,Divulgada no PNCP,2023-10-31,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000058/2023,,"Contratação de empresa especializada para a prestação de serviços de locação de aeronave com asa rotativa – HELICÓPTERO, com motor a reação (turbina) a ser utilizada pelo Chefe do Poder Executivo Municipal, autoridades governamentais, servidores e técnicos, quando no exercício da função pública em m",,Divulgada no PNCP,2023-11-09,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000059/2023,,"Contratação de empresa especializada em Arquitetura, Engenharia e Restauro para a elaboração de uma avaliação diagnóstica sobre a condição de preservação dos elementos em mármore travertino em todo o saguão do terceiro pavimento, conforme especificações do Termo de Referência do Edital.",,Divulgada no PNCP,2023-11-13,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000060/2023,,Contratação de empresa especializada no fornecimento de armadilha para Ratos e sachê raticida. Qualquer divergência entre as especificações contidas no Aviso de dispensa eletrônica e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá  para todos os efeitos as do Aviso de dispensa eletrônica.,,Divulgada no PNCP,2023-11-22,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000061/2023,,"Contratação de 1 (um) link dedicado de comunicação de fibra ótica Ethernet para atender como redundância, com velocidade de 500 Mbps de banda, o link deverá ser instalado, configurado e atender aos níveis de serviço e especificações técnicas constantes no Termo de Referência.",,Divulgada no PNCP,2023-11-30,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000062/2023,,"Contratação de empresa especializada na prestação de serviços contínuos de manutenção predial, telefonia e para-raios, preventiva e corretiva compreendendo o fornecimento de mão de obra, ferramentas e equipamentos adequados para a execução do objeto, conforme Termo de Referência e demais anexos do E",,Divulgada no PNCP,2023-12-01,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000063/2023,,Aquisição de Materiais de Jardinagem. Qualquer divergência entre as especificações  contidas no Edital de dispensa eletrônica e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os  efeitos as do Aviso de dispensa eletrônica.,,Divulgada no PNCP,2023-12-01,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000064/2023,,"Aquisição de algae eaters (comedor de algas), para controlar o crescimento excessivo de algas que se fixam nas paredes e pedras do nosso aquário.Qualquer divergência entre as especificações contidas no Edital de dispensa  eletrônica e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para tod",,Divulgada no PNCP,2023-12-05,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000065/2023,,"Contratação de empresa especializada para a prestação de serviços de locação de aeronave com asa rotativa – HELICÓPTERO, com motor a reação (turbina) a ser utilizada pelo Chefe do Poder Executivo Municipal, autoridades governamentais, servidores e técnicos, quando no exercício da função pública em m",,Divulgada no PNCP,2023-12-06,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000067/2023,,Assinatura mensal de 25 (vinte e cinco) SIM CARD com Internet Móvel de 10GB. Qualquer divergência entre as especificações contidas no Aviso de dispensa eletrônica e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Aviso de dispensa eletrônica.,,Divulgada no PNCP,2023-12-11,,,
