exercicio,anexo,cod_conta,conta,coluna,valor,instituicao,uf
2020,DCA-Anexo I-AB,P2.3.3.9.0.00.00,2.3.3.9.0.00.00 - Outras Reservas de Capital,31/12/2020,460939.85,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.3.9.1.00.00,2.3.3.9.1.00.00 - Outras Reservas de Capital - Consolidação,31/12/2020,460939.85,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.6.0.0.00.00,2.3.6.0.0.00.00 - Demais Reservas,31/12/2020,5774303.95,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.6.1.0.00.00,2.3.6.1.0.00.00 - Reserva de Reavaliação,31/12/2020,5774303.95,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.6.1.1.00.00,2.3.6.1.1.00.00 - Reserva de Reavaliação - Consolidação,31/12/2020,5774303.95,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.7.0.0.00.00,2.3.7.0.0.00.00 - Resultados Acumulados,31/12/2020,3475150474.89,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.7.1.0.00.00,2.3.7.1.0.00.00 - Superávits ou Déficits Acumulados,31/12/2020,3717645928.71,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.7.1.1.00.00,2.3.7.1.1.00.00 - Superávits ou Déficits Acumulados - Consolidação,31/12/2020,-3907486789.34,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.7.1.1.01.00,2.3.7.1.1.01.00 - Superávits ou Déficits do Exercício,31/12/2020,-1537184534.7,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.7.1.1.02.00,2.3.7.1.1.02.00 - Superávits ou Déficits de Exercícios Anteriores,31/12/2020,-2370302254.64,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.7.1.2.00.00,2.3.7.1.2.00.00 - Superávits ou Déficits Acumulados - Intra OFSS,31/12/2020,-565179940.34,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.7.1.2.01.00,2.3.7.1.2.01.00 - Superávits ou Déficits do Exercício,31/12/2020,-46018096.86,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.7.1.2.02.00,2.3.7.1.2.02.00 - Superávits ou Déficits de Exercícios Anteriores,31/12/2020,-519161843.48,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.7.1.3.00.00,2.3.7.1.3.00.00 - Superávits ou Déficits Acumulados - Inter OFSS - União,31/12/2020,2941325868.51,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.7.1.3.01.00,2.3.7.1.3.01.00 - Superávits ou Déficits do Exercício,31/12/2020,697324489.54,Prefeitura Municipal de Sorocaba - SP,SP
